地区,类型,名称,链接,标记
北京,合作办学项目,北京交通大学与荷兰代尔夫特理工大学合作举办交通运输专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2256,▲
北京,合作办学项目,北京外国语大学与英国基尔大学合作举办外交学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2406,▲
北京,合作办学项目,中央民族大学与爱尔兰国立科克大学合作举办环境科学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2536,▲
北京,合作办学项目,中国农业大学与美国康奈尔大学合作举办食品科学与工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2685,▲
北京,合作办学项目,中国农业大学与美国康奈尔大学合作举办食品质量与安全专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2686,▲
北京,合作办学项目,首都经济贸易大学与美国南佛罗里达大学合作举办统计学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/2875,▲
北京,合作办学项目,首都经济贸易大学与美国亚利桑那大学合作举办统计学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/3221,▲
北京,合作办学项目,北京物资学院与美国纽黑文大学合作举办大数据管理与应用专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/3282,▲
上海,合作办学机构,同济大学中德工程学院（Sino-German College Applied Sciences of Tongji University）,https://www.crs.jsj.edu.cn/aproval/detail/108,▲
上海,合作办学机构,上海大学中欧工程技术学院（ Sino-European School of Technology of Shanghai University ）,https://www.crs.jsj.edu.cn/aproval/detail/109,"▲, ■"
上海,合作办学机构,"上海理工大学中英国际学院（Sino－British College, University of Shanghai for Science and Technology）",https://www.crs.jsj.edu.cn/aproval/detail/110,▲
上海,合作办学机构,上海交通大学交大密西根联合学院（Shanghai Jiao Tong University SJTU-UM Joint Institute）,https://www.crs.jsj.edu.cn/aproval/detail/399,"●, ■"
上海,合作办学机构,上海大学悉尼工商学院（SILC Business School，Shanghai University）,https://www.crs.jsj.edu.cn/aproval/detail/574,"●, ■"
上海,合作办学机构,上海纽约大学（Shanghai New York University）,https://www.crs.jsj.edu.cn/aproval/detail/773,"▲, ■"
上海,合作办学机构,上海交通大学巴黎卓越工程师学院（SJTU Paris Elite Institute of Technology）,https://www.crs.jsj.edu.cn/aproval/detail/839,"▲, ■"
上海,合作办学机构,"东华大学上海国际时尚创意学院（Shanghai International College of Fashion and Innovation, Donghua University）",https://www.crs.jsj.edu.cn/aproval/detail/1110,▲
上海,合作办学机构,"上海理工大学中德国际学院（Sino-German College, University of Shanghai for Science and Technology）",https://www.crs.jsj.edu.cn/aproval/detail/1111,▲
上海,合作办学机构,中央美术学院艺术与设计管理学院（法文：Institut de management des arts et du design）,https://www.crs.jsj.edu.cn/aproval/detail/2668,▲
上海,合作办学机构,"华东理工大学国际卓越工程师学院（英文：International Elite Engineering School, East China University of Science and Technology ）",https://www.crs.jsj.edu.cn/aproval/detail/2669,"▲, ■"
上海,合作办学机构,"上海商学院上海洛桑酒店管理学院（英文：College of Shanghai Lausanne Hospitality Management, Shanghai Business School）",https://www.crs.jsj.edu.cn/aproval/detail/2966,▲
上海,合作办学机构,上海电机学院凯撒斯劳滕智能制造学院（德文：Kaiserlautern Kolleg für Intelligente Produktion an der Shanghai Dianji Universität 英文：Kaiserslautern Intelligent Manufacturing School of Shanghai Dianji University ）,https://www.crs.jsj.edu.cn/aproval/detail/2968,▲
上海,合作办学机构,上海师范大学天华学院北亚利桑那学院（英文：Northern Arizona Institute of Shanghai Normal University Tianhua College）,https://www.crs.jsj.edu.cn/aproval/detail/3152,▲
上海,合作办学机构,上海工程技术大学国际创意设计学院（韩文：상해공정기술대학교 국제 창의 디자인학원； 英文：International Institute of Creative Design，Shanghai University of Engineering Science),https://www.crs.jsj.edu.cn/aproval/detail/3160,"▲, ■"
上海,合作办学机构,"上海大学里斯本学院（英文：ULisboa School, Shanghai University）",https://www.crs.jsj.edu.cn/aproval/detail/3161,"▲, ■"
上海,合作办学项目,上海工程技术大学与美国劳伦斯理工大学合作举办电子信息工程专业本科教育项目（停止招生）,https://www.crs.jsj.edu.cn/aproval/detail/41,▲
上海,合作办学项目,上海师范大学与英国龙比亚大学合作举办土木工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/42,▲
上海,合作办学项目,上海海事大学与荷兰泽兰德大学合作举办电气工程与智能控制专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/43,▲
上海,合作办学项目,华东理工大学与德国吕贝克应用技术大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/232,●
上海,合作办学项目,华东理工大学与德国吕贝克应用技术大学合作举办化学工程与工艺专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/235,●
上海,合作办学项目,东华大学与德国劳特林根应用技术大学合作举办轻化工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/241,●
上海,合作办学项目,东华大学与日本文化学园合作举办服装与服饰设计专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/242,●
上海,合作办学项目,上海财经大学与美国韦伯斯特大学合作举办工商管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/245,●
上海,合作办学项目,上海财经大学与英国南安普顿大学合作举办金融学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/248,●
上海,合作办学项目,上海理工大学与德国汉堡应用技术大学合作举办机械设计制造及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/251,●
上海,合作办学项目,上海理工大学与德国汉堡应用技术大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/258,●
上海,合作办学项目,上海理工大学与美国北达科他大学合作举办工商管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/271,●
上海,合作办学项目,上海工程技术大学与美国劳伦斯理工大学合作举办机械设计制造及其自动化专业本科教育项目（停止招生）,https://www.crs.jsj.edu.cn/aproval/detail/281,●
上海,合作办学项目,上海工程技术大学与美国劳伦斯理工大学合作举办交通运输专业本科教育项目（停止招生）,https://www.crs.jsj.edu.cn/aproval/detail/286,●
上海,合作办学项目,上海工程技术大学与美国劳伦斯理工大学合作举办自动化专业本科教育项目（停止招生）,https://www.crs.jsj.edu.cn/aproval/detail/289,●
上海,合作办学项目,上海工程技术大学与韩国东西大学合作举办数字媒体艺术专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/291,●
上海,合作办学项目,上海海洋大学与澳大利亚塔斯马尼亚大学合作举办市场营销专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/296,●
上海,合作办学项目,上海海洋大学与澳大利亚塔斯马尼亚大学合作举办信息管理与信息系统专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/300,●
上海,合作办学项目,上海中医药大学与英国伦敦都市大学合作举办药学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/303,●
上海,合作办学项目,上海师范大学与法国克莱蒙•奥弗涅大学合作举办广告学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/309,●
上海,合作办学项目,上海师范大学与法国克莱蒙•奥弗涅大学合作举办经济学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/313,●
上海,合作办学项目,上海师范大学与法国克莱蒙•奥弗涅大学合作举办计算机科学与技术专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/319,●
上海,合作办学项目,上海师范大学与美国戴顿大学合作举办电子信息工程本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/323,●
上海,合作办学项目,上海师范大学与美国戴顿大学合作举办机械设计制造及其自动化本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/327,●
上海,合作办学项目,上海师范大学与美国韦伯州立大学合作举办经济学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/331,●
上海,合作办学项目,上海电力大学与英国斯特拉斯克莱德大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/338,●
上海,合作办学项目,上海电力大学与英国斯特拉斯克莱德大学合作举办计算机科学与技术专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/340,●
上海,合作办学项目,上海应用技术大学与美国中密西根大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/342,●
上海,合作办学项目,上海应用技术大学与美国中密西根大学合作举办机械设计制造及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/344,●
上海,合作办学项目,同济大学与意大利米兰理工大学、意大利都灵理工大学合作举办电子信息工程专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/395,▲
上海,合作办学项目,上海对外经贸大学与德国奥斯纳布吕克应用技术大学合作举办会展经济与管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/397,●
上海,合作办学项目,同济大学与意大利米兰理工大学、意大利都灵理工大学合作举办机械设计制造及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/398,▲
上海,合作办学项目,上海电机学院与美国北爱荷华大学合作举办国际经济与贸易专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/456,▲
上海,合作办学项目,上海音乐学院与日本数字好莱坞大学合作举办录音艺术专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/461,▲
上海,合作办学项目,上海财经大学与英国南安普顿大学合作举办经济学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/499,●
上海,合作办学项目,上海应用技术大学与新西兰奥克兰理工大学合作举办应用化学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/501,●
上海,合作办学项目,上海应用技术大学与加拿大汤姆逊大学合作举办市场营销专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/502,●
上海,合作办学项目,上海对外经贸大学与加拿大道格拉斯学院合作举办财务管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/503,●
上海,合作办学项目,上海对外经贸大学与加拿大道格拉斯学院合作举办金融学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/504,●
上海,合作办学项目,上海对外经贸大学与澳大利亚皇家墨尔本理工大学合作举办物流管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/505,●
上海,合作办学项目,上海对外经贸大学与澳大利亚皇家墨尔本理工大学合作举办国际商务专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/506,●
上海,合作办学项目,上海杉达学院与美国瑞德大学合作举办国际经济与贸易专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/508,●
上海,合作办学项目,上海理工大学与美国纽约市立大学皇后学院合作举办英语专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/576,●
